name,Z,row,group,atomic_radius_calculated,mendeleev_no,electrical_resistivity,reflectivity,refractive_index,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,mineral_hardness,vickers_hardness,density_of_solid,coefficient_of_linear_thermal_expansion,ionization_energies,atomic_mass,atomic_radius,average_anionic_radius,average_cationic_radius,average_ionic_radius,electron_affinity
Rh,45.0,5.0,9.0,1.73,65.0,4.3e-08,84.0,,0.26,8.28,150.0,3968.0,2237.0,,,1731.0,380.0,275.0,1100.0,150.0,6.0,1246.0,12450.0,8.2e-06,7.4589,102.9055,1.35,0.0,0.745,0.745,1.142892
Pd,46.0,5.0,10.0,1.69,69.0,1.08e-07,72.0,,0.39,8.56,72.0,3236.0,1828.05,,,1407.95,180.0,121.0,37.3,44.0,4.75,461.0,12023.0,1.18e-05,8.336839,106.42,1.4,0.0,0.84625,0.84625,0.5621412
Ag,47.0,5.0,11.0,1.65,71.0,1.63e-08,97.0,,0.37,10.27,430.0,2435.0,1234.93,,,1200.07,100.0,83.0,24.5,30.0,2.5,251.0,10490.0,1.89e-05,7.576234,107.8682,1.6,0.0,1.0866666666666667,1.0866666666666667,1.304473
Cd,48.0,5.0,12.0,1.61,75.0,7e-08,67.0,,0.3,13.0,97.0,1040.0,594.22,,0.517,445.78,42.0,50.0,203.0,19.0,2.0,,8650.0,3.08e-05,8.99382,112.411,1.55,0.0,1.09,1.09,-0.72
In,49.0,5.0,13.0,1.56,79.0,8e-08,,,,15.76,82.0,2345.0,429.75,,3.41,1915.25,,11.0,8.83,,1.2,,7310.0,3.21e-05,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926
Sn,50.0,5.0,14.0,1.45,83.0,1.15e-07,54.0,,0.36,16.29,67.0,2875.0,505.08,,3.72,2369.92,58.0,50.0,51.0,18.0,1.5,,7310.0,2.2e-05,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702
Sb,51.0,5.0,15.0,1.33,88.0,4e-07,55.0,,,18.19,24.0,1860.0,903.78,,,956.22,42.0,55.0,294.0,20.0,3.0,,6697.0,1.1e-05,8.608389,121.76,1.45,0.0,0.8300000000000001,0.8300000000000001,1.04740119
Te,52.0,5.0,16.0,1.23,92.0,0.0001,50.0,1.000991,,20.46,3.0,1261.0,722.66,,,538.34,65.0,43.0,180.0,16.0,2.25,,6240.0,,9.009808,127.6,1.4,2.07,0.905,1.2933333333333332,1.9708757
I,53.0,5.0,17.0,1.15,97.0,1000000000000000.0,,,,25.72,0.449,457.4,386.85,819.0,,70.55,7.7,,,,,,4940.0,,10.45126,126.90447,1.4,2.06,0.8800000000000001,1.2733333333333334,3.05905238
Xe,54.0,5.0,18.0,1.08,5.0,,,1.000702,,35.92,0.00565,165.1,161.4,289.7,,3.7,,,,,,,,,12.1298437,131.293,,0.0,0.62,0.62,-0.82
Cs,55.0,6.0,1.0,2.98,8.0,2.1e-07,,,,70.94,36.0,944.0,301.59,1938.0,,642.41,1.6,1.7,0.14,,0.2,,1879.0,,3.89390572743,132.9054519,2.6,0.0,1.81,1.81,0.47163025
